"Source Name",Path,Key,"Data Source","Last Write","Date Modified","Date Created","Date Accessed"
UsrClass.dat,"{f874310e-b6b7-47dc-bc84-b9e6b38f5903}","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\0\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"My Computer","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:48:14 EDT",,,
UsrClass.dat,"My Computer\C:\","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:14 EDT",,,
UsrClass.dat,"My Computer\C:\User","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:16 EDT","2026-04-24 17:40:48 EDT","2024-04-01 07:21:18 EDT","2026-04-24 17:40:48 EDT"
UsrClass.dat,"My Computer\C:\User\mtan","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:17 EDT","2026-04-24 03:35:44 EDT","2026-04-21 00:10:52 EDT","2026-04-24 16:45:48 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:28 EDT","2026-04-24 03:20:36 EDT","2026-04-24 03:19:20 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\0\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:30:32 EDT","2026-04-24 03:19:42 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Site_Assessment","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:30 EDT","2026-04-24 04:06:48 EDT","2026-04-24 03:21:38 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Financ","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:48:14 EDT","2026-04-24 22:46:00 EDT","2026-04-24 03:19:54 EDT","2026-04-24 22:46:00 EDT"
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\2\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\3\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\0\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"Explorer\Ransomware-Simulator-main.zi","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:16:33 EDT","2026-04-24 03:15:08 EDT","2026-04-24 03:14:56 EDT","2026-04-24 03:15:08 EDT"
UsrClass.dat,"Explorer\Ransomware-Simulator-main.zi\","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:15:34 EDT",,,
UsrClass.dat,"My Computer","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:54:28 EDT",,,
UsrClass.dat,"My Computer\C:\","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:15:38 EDT",,,
UsrClass.dat,"My Computer\C:\User","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:15:42 EDT","2026-04-23 16:06:34 EDT","2024-04-01 07:21:18 EDT","2026-04-24 03:07:32 EDT"
UsrClass.dat,"My Computer\C:\User\mtan","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:15:44 EDT","2026-04-21 00:12:52 EDT","2026-04-21 00:10:52 EDT","2026-04-24 03:07:28 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Document","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\","Windows_Ransomware_Build.vmdk",,"2026-04-21 00:12:54 EDT","2026-04-21 00:10:52 EDT","2026-04-24 03:15:46 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Document\Stark_Engineerin","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 03:17:49 EDT","2026-04-24 03:17:22 EDT","2026-04-24 03:17:22 EDT","2026-04-24 03:17:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:19:20 EDT","2026-04-24 03:19:20 EDT","2026-04-24 03:19:22 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:19:42 EDT","2026-04-24 03:19:42 EDT","2026-04-24 03:19:44 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Q2_Proposal","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\0\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:30:56 EDT","2026-04-24 03:30:22 EDT","2026-04-24 03:30:56 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\City_Contract","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\1\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:31:56 EDT","2026-04-24 03:30:06 EDT","2026-04-24 03:31:56 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Bridge_Inspection_Progra","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\2\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:32:42 EDT","2026-04-24 03:20:52 EDT","2026-04-24 03:32:42 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Transit_Expansion_Stud","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\3\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:33:52 EDT","2026-04-24 03:21:18 EDT","2026-04-24 03:33:52 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Site_Assessment","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\0\4\","Windows_Ransomware_Build.vmdk","2026-04-24 22:24:42 EDT","2026-04-24 03:35:26 EDT","2026-04-24 03:21:38 EDT","2026-04-24 03:35:26 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Financ","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:32:56 EDT","2026-04-24 03:36:16 EDT","2026-04-24 03:19:54 EDT","2026-04-24 03:36:16 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Operation","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\2\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:20:06 EDT","2026-04-24 03:20:06 EDT","2026-04-24 03:20:06 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Vendor","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\3\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:57:50 EDT","2026-04-24 03:20:22 EDT","2026-04-24 03:57:50 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Archiv","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\1\4\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:39:12 EDT","2026-04-24 03:20:32 EDT","2026-04-24 03:39:12 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\OneDriv","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\2\","Windows_Ransomware_Build.vmdk","2026-04-24 22:54:21 EDT",,,
UsrClass.dat,"My Computer\C:\User\mtan\OneDriv\Microsoft Teams Chat File","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\2\0\","Windows_Ransomware_Build.vmdk","2026-04-24 22:54:21 EDT","2026-04-24 22:51:46 EDT","2026-04-24 22:51:46 EDT","2026-04-24 22:51:46 EDT"
UsrClass.dat,"My Documents","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\2\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"My Documents","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\3\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\4\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"My Documents","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\5\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,CLSID_Users,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"CLSID_Users\Stark_Engineerin","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\","Windows_Ransomware_Build.vmdk","2026-04-24 22:17:06 EDT","2026-04-24 03:19:20 EDT","2026-04-24 03:19:20 EDT","2026-04-24 03:19:22 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 22:23:15 EDT","2026-04-24 03:21:46 EDT","2026-04-24 03:19:42 EDT","2026-04-24 03:21:46 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project\Q2_Proposal","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\0\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:30:22 EDT","2026-04-24 03:30:22 EDT","2026-04-24 03:30:22 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project\City_Contract","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\1\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:30:06 EDT","2026-04-24 03:30:06 EDT","2026-04-24 03:30:08 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project\Bridge_Inspection_Progra","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\2\","Windows_Ransomware_Build.vmdk","2026-04-24 16:57:56 EDT","2026-04-24 03:20:52 EDT","2026-04-24 03:20:52 EDT","2026-04-24 03:20:52 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project\Transit_Expansion_Stud","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\3\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:21:18 EDT","2026-04-24 03:21:18 EDT","2026-04-24 03:21:18 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Project\Site_Assessment","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\0\4\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:21:38 EDT","2026-04-24 03:21:38 EDT","2026-04-24 03:21:38 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Financ","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\1\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:19:54 EDT","2026-04-24 03:19:54 EDT","2026-04-24 03:19:54 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Operation","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\2\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:20:06 EDT","2026-04-24 03:20:06 EDT","2026-04-24 03:20:06 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Vendor","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\3\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:20:22 EDT","2026-04-24 03:20:22 EDT","2026-04-24 03:20:22 EDT"
UsrClass.dat,"CLSID_Users\Stark_Engineerin\Archiv","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\6\0\4\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:20:32 EDT","2026-04-24 03:20:32 EDT","2026-04-24 03:20:32 EDT"
UsrClass.dat,"{f874310e-b6b7-47dc-bc84-b9e6b38f5903}","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\7\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"{018d5c66-4533-4307-9b53-224de2ed1fe6}","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\8\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\9\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"Explorer\Screenshot","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\9\0\","Windows_Ransomware_Build.vmdk","2026-04-24 16:58:27 EDT","2026-04-24 03:22:48 EDT","2026-04-24 03:22:42 EDT","2026-04-24 03:37:46 EDT"
UsrClass.dat,"{e88865ea-0e1c-4e20-9aa6-edcd0212c87c}","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\10\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\11\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\12\","Windows_Ransomware_Build.vmdk",,,,
